dataset,setting,learner,method,T,K,repeat,c,delta,target_mean,r_eg,boundary_ratio,B,expected_exploration_per_arm,expected_non_target_exploratory_pulls,cost,C,nK,target_cost,non_target_cost,target_budget_fraction,non_target_budget_fraction,normalized_cost,cost_over_sqrt_TKlogT,H,T0,xi,non_target_online_pulls,greedy_non_target_pulls,exploratory_non_target_pulls,success,individual_exploration_bound,all_greedy_target,online_ratio,allocation_json,online_counts_json,exploratory_counts_json,means_json,seed,trajectory_seconds,status
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,10,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,16,0,16,1,1,1,0.9998299030447355,"[742, 742, 742, 742, 2968]","[6, 3, 3, 4, 94048]","[6, 3, 3, 4, 5]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",424629636,0.0010017089953180403,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,11,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[2, 1, 1, 4, 94056]","[2, 1, 1, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2005803124,0.0008237500005634502,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,12,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[4, 4, 2, 2, 94052]","[4, 4, 2, 2, 1]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1783338450,0.0008079160033958033,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,13,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[3, 4, 2, 2, 94053]","[3, 4, 2, 2, 0]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3754863345,0.0008024160051718354,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,14,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[4, 3, 4, 2, 94051]","[4, 3, 4, 2, 6]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",487154257,0.0008014170016394928,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,15,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,14,0,14,1,1,1,0.9998511651641435,"[742, 742, 742, 742, 2968]","[3, 4, 4, 3, 94050]","[3, 4, 4, 3, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3470537867,0.0008009580051293597,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,16,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,16,0,16,1,1,1,0.9998299030447355,"[742, 742, 742, 742, 2968]","[4, 6, 3, 3, 94048]","[4, 6, 3, 3, 5]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1400933437,0.0008013750048121437,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,17,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[2, 6, 1, 2, 94053]","[2, 6, 1, 2, 0]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1786247371,0.0007986669952515513,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,18,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,16,0,16,1,1,1,0.9998299030447355,"[742, 742, 742, 742, 2968]","[6, 5, 2, 3, 94048]","[6, 5, 2, 3, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2366868666,0.0007990419981069863,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,19,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[1, 3, 6, 2, 94052]","[1, 3, 6, 2, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2051012471,0.0008552090002922341,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,20,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,14,0,14,1,1,1,0.9998511651641435,"[742, 742, 742, 742, 2968]","[4, 4, 4, 2, 94050]","[4, 4, 4, 2, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",787437536,0.000822375004645437,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,21,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[2, 0, 5, 1, 94056]","[2, 0, 5, 1, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3716473712,0.0008017499931156635,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,22,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[1, 2, 4, 4, 94053]","[1, 2, 4, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",336968530,0.0007911669963505119,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,23,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[2, 1, 1, 4, 94056]","[2, 1, 1, 4, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4014906584,0.0008067909948294982,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,24,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,15,0,15,1,1,1,0.9998405341044395,"[742, 742, 742, 742, 2968]","[6, 4, 1, 4, 94049]","[6, 4, 1, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",327662839,0.0008086660091066733,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,25,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[3, 0, 5, 3, 94053]","[3, 0, 5, 3, 7]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2779687689,0.0007772090029902756,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,26,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[6, 0, 3, 2, 94053]","[6, 0, 3, 2, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",356470435,0.0008716670126887038,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,27,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[4, 0, 3, 4, 94053]","[4, 0, 3, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2785482649,0.0007987499993760139,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,28,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,7,0,7,1,1,1,0.9999255825820718,"[742, 742, 742, 742, 2968]","[1, 1, 5, 0, 94057]","[1, 1, 5, 0, 5]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",289019602,0.0008116249955492094,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,29,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[2, 6, 3, 2, 94051]","[2, 6, 3, 2, 1]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4029016832,0.0008240409952122718,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,30,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[5, 2, 1, 4, 94052]","[5, 2, 1, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2524190192,0.0009085420024348423,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,31,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,9,0,9,1,1,1,0.9999043204626638,"[742, 742, 742, 742, 2968]","[1, 0, 3, 5, 94055]","[1, 0, 3, 5, 1]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1072024820,0.0008189160143956542,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,32,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[4, 2, 6, 1, 94051]","[4, 2, 6, 1, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",575842626,0.0008065000001806766,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,33,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[2, 1, 6, 4, 94051]","[2, 1, 6, 4, 5]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3937830522,0.0008066669979598373,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,34,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[1, 4, 2, 1, 94056]","[1, 4, 2, 1, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",233646305,0.0008141250000335276,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,35,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,14,0,14,1,1,1,0.9998511651641435,"[742, 742, 742, 742, 2968]","[7, 1, 3, 3, 94050]","[7, 1, 3, 3, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1544180935,0.0007979579968377948,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,36,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,10,0,10,1,1,1,0.9998936894029596,"[742, 742, 742, 742, 2968]","[3, 6, 1, 0, 94054]","[3, 6, 1, 0, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3430132866,0.000800499998149462,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,37,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[5, 3, 4, 1, 94051]","[5, 3, 4, 1, 1]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1989401667,0.0008102499996311963,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,38,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,7,0,7,1,1,1,0.9999255825820718,"[742, 742, 742, 742, 2968]","[3, 2, 1, 1, 94057]","[3, 2, 1, 1, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2887441353,0.0008819579961709678,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,39,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[1, 4, 1, 2, 94056]","[1, 4, 1, 2, 7]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2759009615,0.0008746660023462027,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,40,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,13,0,13,1,1,1,0.9998617962238476,"[742, 742, 742, 742, 2968]","[3, 3, 3, 4, 94051]","[3, 3, 3, 4, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4090937318,0.0008378330094274133,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,41,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,10,0,10,1,1,1,0.9998936894029596,"[742, 742, 742, 742, 2968]","[4, 3, 3, 0, 94054]","[4, 3, 3, 0, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3798468175,0.0007996670028660446,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,42,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,15,0,15,1,1,1,0.9998405341044395,"[742, 742, 742, 742, 2968]","[2, 2, 4, 7, 94049]","[2, 2, 4, 7, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",2744126466,0.0008622500026831403,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,43,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,14,0,14,1,1,1,0.9998511651641435,"[742, 742, 742, 742, 2968]","[2, 5, 6, 1, 94050]","[2, 5, 6, 1, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4189354820,0.0009432500082766637,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,44,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,8,0,8,1,1,1,0.9999149515223678,"[742, 742, 742, 742, 2968]","[4, 1, 3, 0, 94056]","[4, 1, 3, 0, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1839679057,0.000809291988844052,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,45,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,18,0,18,1,1,1,0.9998086409253274,"[742, 742, 742, 742, 2968]","[5, 3, 3, 7, 94046]","[5, 3, 3, 7, 0]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1206507837,0.0008046250004554167,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,46,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[3, 2, 3, 4, 94052]","[3, 2, 3, 4, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3232600865,0.000800458001322113,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,47,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,17,0,17,1,1,1,0.9998192719850315,"[742, 742, 742, 742, 2968]","[2, 8, 2, 5, 94047]","[2, 8, 2, 5, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1923300056,0.0008042080007726327,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,48,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,17,0,17,1,1,1,0.9998192719850315,"[742, 742, 742, 742, 2968]","[8, 3, 3, 3, 94047]","[8, 3, 3, 3, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1488108416,0.0008956250094342977,simulated
