dataset,setting,learner,method,T,K,repeat,c,delta,target_mean,r_eg,boundary_ratio,B,cost,C,T0,H,nK,total_target_ratio,online_ratio,non_target_online_pulls,greedy_non_target_pulls,exploratory_non_target_pulls,initialization_non_target_pulls,modified_reward_count,target_reward_sum,cost_definition,allocation_json,online_counts_json,exploratory_counts_json,initialization_counts_json,reward_sums_json,observed_reward_sums_json,means_json,seed,trajectory_seconds,status
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,5,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95427,0.999790967599978,19,0,19,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[1, 3, 1, 3, 1, 2, 2, 3, 3, 90876]","[1, 3, 1, 3, 1, 2, 2, 3, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",3345901094,0.0010237909882562235,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,5,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99993,99993,0,100000,0,7e-05,7e-05,99993,99886,98,9,19886,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99895, 13, 14, 16, 8, 11, 17, 11, 8, 7]","[8, 12, 13, 15, 7, 10, 16, 10, 7, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19833.0, 3.0, 8.0, 6.0, 3.0, 7.0, 14.0, 7.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1156767546,0.0020680419984273612,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,6,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95416,0.9996699488420705,30,0,30,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[1, 6, 3, 5, 1, 6, 5, 1, 2, 90865]","[1, 6, 3, 5, 1, 6, 5, 1, 2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",20313719,0.0010291250073350966,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,6,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99991,99991,0,100000,0,9e-05,9e-05,99991,99895,87,9,19823,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99904, 15, 4, 14, 11, 10, 8, 9, 16, 9]","[8, 14, 3, 13, 10, 9, 7, 8, 15, 8]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19771.0, 2.0, 3.0, 9.0, 8.0, 6.0, 4.0, 7.0, 13.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1684296679,0.0020493750052992254,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,7,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95412,0.9996259420210133,34,0,34,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[4, 2, 1, 6, 6, 5, 4, 2, 4, 90861]","[4, 2, 1, 6, 6, 5, 4, 2, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",3334650902,0.0010161250102100894,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,7,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99986,99986,0,100000,0,0.00014,0.00014,99986,99903,74,9,19970,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99912, 13, 9, 13, 8, 9, 6, 10, 6, 14]","[8, 12, 8, 12, 7, 8, 5, 9, 5, 13]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19930.0, 3.0, 6.0, 6.0, 2.0, 7.0, 3.0, 9.0, 4.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2269761904,0.0020096249936614186,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,8,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95427,0.999790967599978,19,0,19,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[2, 3, 2, 2, 4, 2, 2, 2, 0, 90876]","[2, 3, 2, 2, 4, 2, 2, 2, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",3820705355,0.0010167920117964968,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,8,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99987,99987,0,100000,0,0.00013,0.00013,99987,99906,72,9,19979,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99918, 6, 6, 8, 12, 14, 8, 5, 10, 13]","[11, 5, 5, 7, 11, 13, 7, 4, 9, 12]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19942.0, 2.0, 2.0, 6.0, 3.0, 6.0, 5.0, 4.0, 9.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1351819090,0.0020330840052338317,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,9,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95423,0.9997469607789208,23,0,23,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[2, 2, 5, 2, 4, 3, 2, 3, 0, 90872]","[2, 2, 5, 2, 4, 3, 2, 3, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",3674190500,0.001017624992527999,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,9,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99985,99985,0,100000,0,0.00015,0.00015,99985,99914,62,9,19931,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99921, 9, 12, 9, 4, 3, 7, 11, 9, 15]","[6, 8, 11, 8, 3, 2, 6, 10, 8, 14]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19896.0, 4.0, 5.0, 4.0, 3.0, 1.0, 4.0, 6.0, 8.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",354303131,0.00201424999977462,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,10,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95422,0.9997359590736564,24,0,24,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[4, 1, 2, 0, 3, 3, 5, 5, 1, 90871]","[4, 1, 2, 0, 3, 3, 5, 5, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",3357036090,0.0010190000029979274,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,10,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99993,99993,0,100000,0,7e-05,7e-05,99993,99898,86,9,20094,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99911, 6, 16, 10, 10, 9, 6, 16, 9, 7]","[12, 5, 15, 9, 9, 8, 5, 15, 8, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20051.0, 0.0, 6.0, 6.0, 7.0, 3.0, 4.0, 9.0, 8.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",92283006,0.002000540989683941,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,11,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95423,0.9997469607789208,23,0,23,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[5, 3, 1, 2, 4, 2, 1, 0, 5, 90872]","[5, 3, 1, 2, 4, 2, 1, 0, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2180971240,0.001090542005840689,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,11,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99994,99994,0,100000,0,6e-05,6e-05,99994,99900,85,9,19813,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99909, 11, 8, 7, 14, 13, 4, 14, 14, 6]","[8, 10, 7, 6, 13, 12, 3, 13, 13, 5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19773.0, 3.0, 3.0, 3.0, 6.0, 4.0, 2.0, 9.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2671083819,0.0022247919987421483,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,12,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95435,0.9998789812420925,11,0,11,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[1, 0, 1, 1, 4, 0, 2, 2, 0, 90884]","[1, 0, 1, 1, 4, 0, 2, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1698254223,0.0010473330039530993,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,12,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99986,99986,0,100000,0,0.00014,0.00014,99986,99887,90,9,19822,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99904, 6, 9, 8, 19, 5, 11, 13, 11, 14]","[16, 5, 8, 7, 18, 4, 10, 12, 10, 13]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19773.0, 1.0, 4.0, 4.0, 11.0, 3.0, 8.0, 9.0, 9.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1812873507,0.0020490419992711395,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,13,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95425,0.9997689641894494,21,0,21,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[3, 2, 1, 2, 4, 3, 3, 0, 3, 90874]","[3, 2, 1, 2, 4, 3, 3, 0, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",91056898,0.0010440420010127127,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,13,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99988,99988,0,100000,0,0.00012,0.00012,99988,99903,76,9,20186,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99911, 4, 10, 10, 14, 16, 5, 10, 8, 12]","[7, 3, 9, 9, 13, 15, 4, 9, 7, 11]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20146.0, 1.0, 4.0, 2.0, 6.0, 7.0, 4.0, 8.0, 8.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",348077256,0.0021487089979927987,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,14,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95413,0.9996369437262775,33,0,33,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[0, 4, 5, 4, 5, 2, 5, 5, 3, 90862]","[0, 4, 5, 4, 5, 2, 5, 5, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2355640352,0.0010468330001458526,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,14,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99994,99994,0,100000,0,6e-05,6e-05,99994,99908,77,9,19890,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99914, 10, 9, 12, 9, 10, 14, 8, 8, 6]","[5, 9, 8, 11, 8, 9, 13, 7, 7, 5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19845.0, 5.0, 5.0, 3.0, 5.0, 6.0, 9.0, 5.0, 7.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1722324201,0.002020125000854023,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,15,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95422,0.9997359590736564,24,0,24,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[4, 2, 3, 4, 4, 2, 1, 3, 1, 90871]","[4, 2, 3, 4, 4, 2, 1, 3, 1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",4027978989,0.0010212909983238205,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,15,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99994,99994,0,100000,0,6e-05,6e-05,99994,99888,97,9,20074,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99899, 10, 14, 17, 12, 10, 11, 16, 5, 6]","[10, 9, 13, 16, 11, 9, 10, 15, 4, 5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20024.0, 3.0, 8.0, 6.0, 6.0, 4.0, 6.0, 15.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1179984508,0.0020593329973053187,simulated
